code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g
00032308	British Rhubarb Presse With Ginger												
0003240000007	Chlorella en tabletas	1682	59.1	13.4	5.22	1.21	402	0.95	0.13	0.052			
00032407	Soja edamame et houmous	766	10.2	12.4	4.7	1.3	183	1.7	0.6	0.24			
00032537630905960903	Steak haché bouchere charolaise	866	18	15	0	0	207	6.2	0.22	0.088			
00032537630930903074													
00032582	Decorated hollow white chocolate Arendelle Castle												
00032601214													
00032681	6 Pork Loin Steaks	741	20.8	9.9	0	0	177	3.7	0.1	0.04			
00032704	Sugar cookie cashew butter	2092	12.5	34.375	46.875	25	500	6.25	0.7421875	0.296875	3.125		
00032735	sticky ginger loaf cake	1573	4	12	62.4	36.7	376	1.3	0.38	0.152	1.2		
0003280000005	MSM	0	0	0	0	0	0	0	0	0			
00032810	Tarte au chocolat	1510	5.5	20	38	24	361	12	0.1	0.04	1.9	0	18
00032841	Tarte noix de coco	1644	4.7	25.7	33.4	20.7	393	18.1	0.2	0.08	4.5	0	14
00032858	Tarte aux framboises	996	2.6	8.6	35.8	21.7	238	5.1	0.1	0.04	3.3	45	7
0003290143761	BN chocolat intense	1929	6.9	17.7	66	27.9	461	8.8			4.6		
00032914803220000004	Gambon	356	19.4	0.8	0	0	85	0.4	0.65	0.26			
00032957	Apricot halves in fruit juice	3	11.39999961853	0.80000001192093	11.39999961853	0.5	0.80000001192093	0.10000000149012					
00033	Vegan protein 3k chocolate flavour	1632	70.9	8.2	5.3	0.5	390	2.3	3.9	1.56			
0003300000008	Cordyceps sinensis	0	36.4	14.8	13.7	0.5	0	3.3	0.1	0.04			
0003302009214	Tortellini jambon cru fumé	1234	14	6.30000019073486	44.5999984741211	5.69999980926514	295	2.09999990463257					
0003303547012	Pita Bread	1377	8.8607594936709	8.8607594936709	51.898734177215	2.5316455696203	329.11392405063	0.63291139240506	1.7088607594937	0.68354430379748	1.2658227848101		
